N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
10,30,5,0.3,0.3,20,20,50,1.7032328160000003,1128.8712978227195,2024-09-19 12:45:10.813974
10,5,10,0.3,0.3,20,20,50,0.32914734700000015,1394.7207403321042,2024-09-19 12:45:11.318711
10,10,10,0.3,0.3,20,20,50,0.6013657810000002,1168.0758239427266,2024-09-19 12:45:13.583851
10,30,10,0.3,0.3,20,20,50,1.640221321,1128.8712978227195,2024-09-19 12:45:17.704882
10,5,20,0.3,0.3,20,20,50,0.366348887,1283.3793905500697,2024-09-19 12:45:16.947503
10,10,20,0.3,0.3,20,20,50,0.7145954029999997,1294.6931105347815,2024-09-19 12:45:20.257208
10,30,20,0.3,0.3,20,20,50,1.751464468,1117.5174636694846,2024-09-19 12:45:24.871416
10,5,30,0.3,0.3,20,20,50,0.388797598,1374.8102627032445,2024-09-19 12:45:24.214225
10,10,30,0.3,0.3,20,20,50,0.6982232869999998,1124.0344219241297,2024-09-19 12:45:27.624671
10,30,30,0.3,0.3,20,20,50,1.7318936180000004,1249.8703599791793,2024-09-19 12:45:33.303404
10,5,5,0.3,0.3,30,20,50,0.3893165220000001,1369.990511207322,2024-09-19 12:45:31.795175
10,10,5,0.3,0.3,30,20,50,0.6027205360000001,1379.869612400597,2024-09-19 12:45:35.056021
10,30,5,0.3,0.3,30,20,50,1.73694418,1099.4415093726006,2024-09-19 12:45:39.484977
10,5,10,0.3,0.3,30,20,50,0.3550615709999998,1315.5721065901325,2024-09-19 12:45:40.365042
10,10,10,0.3,0.3,30,20,50,0.6918321819999997,1168.0758239427266,2024-09-19 12:45:43.082206
10,30,10,0.3,0.3,30,20,50,1.669240561,1133.5221987861285,2024-09-19 12:45:47.696591
10,5,20,0.3,0.3,30,20,50,0.37823695199999996,1245.3280798971145,2024-09-19 12:45:47.824949
10,10,20,0.3,0.3,30,20,50,0.6289008489999999,1293.5582001095918,2024-09-19 12:45:50.856863
10,30,20,0.3,0.3,30,20,50,1.713799007,1096.4706080857643,2024-09-19 12:45:55.369627
10,5,30,0.3,0.3,30,20,50,0.38685023099999993,1238.198430698159,2024-09-19 12:45:54.070153
10,10,30,0.3,0.3,30,20,50,0.6694043770000002,1168.0758239427266,2024-09-19 12:45:57.349103
10,30,30,0.3,0.3,30,20,50,1.7440985299999996,1249.8703599791793,2024-09-19 12:46:01.643666
10,5,5,0.3,0.3,5,20,100,0.360442409,1344.3194137493026,2024-09-19 12:46:01.980995
10,10,5,0.3,0.3,5,20,100,0.5203161230000002,1344.3194137493026,2024-09-19 12:46:04.505411
10,30,5,0.3,0.3,5,20,100,1.6619245360000001,1108.9798536197657,2024-09-19 12:46:08.901996
10,5,10,0.3,0.3,5,20,100,0.357534123,1344.3194137493026,2024-09-19 12:46:07.873281
10,10,10,0.3,0.3,5,20,100,0.51414933,1343.4831365359394,2024-09-19 12:46:10.691822
10,30,10,0.3,0.3,5,20,100,1.1848443250000003,1318.2667821703553,2024-09-19 12:46:14.242736
10,5,20,0.3,0.3,5,20,100,0.3568680099999999,1344.3194137493026,2024-09-19 12:46:14.458760
10,10,20,0.3,0.3,5,20,100,0.5161401219999999,1343.4831365359394,2024-09-19 12:46:17.303028
